lat,lon,datetime,user_id
37.77774,-122.41947,2008/06/08 07:05:51,535
37.77724,-122.41632,2008/06/08 07:06:51,535
37.77557,-122.41456,2008/06/08 07:07:50,535
37.77342,-122.41279,2008/06/08 07:08:51,535
37.77097,-122.41306,2008/06/08 07:09:53,535
37.7654,-122.41513,2008/06/08 07:10:53,535
37.76009,-122.41329,2008/06/08 07:11:53,535
37.75504,-122.41182,2008/06/08 07:12:55,535
37.75378,-122.41266,2008/06/08 07:13:54,535
37.7526,-122.41308,2008/06/08 07:14:49,535
37.77774,-122.41947,2008/06/08 07:05:51,210
37.77724,-122.41632,2008/06/08 07:06:51,210
37.77557,-122.41456,2008/06/08 07:07:50,210
37.77342,-122.41279,2008/06/08 07:08:51,210
37.77097,-122.41306,2008/06/08 07:09:53,210
37.7654,-122.41513,2008/06/08 07:10:53,210
37.76009,-122.41329,2008/06/08 07:11:53,210
37.75504,-122.41182,2008/06/08 07:12:55,210
37.75378,-122.41266,2008/06/08 07:13:54,210
37.7526,-122.41308,2008/06/08 07:14:49,210
37.77774,-122.41947,2008/06/08 07:05:51,573
37.77724,-122.41632,2008/06/08 07:06:51,573
37.77557,-122.41456,2008/06/08 07:07:50,573
37.77342,-122.41279,2008/06/08 07:08:51,573
37.77097,-122.41306,2008/06/08 07:09:53,573
37.7654,-122.41513,2008/06/08 07:10:53,573
37.76009,-122.41329,2008/06/08 07:11:53,573
37.75504,-122.41182,2008/06/08 07:12:55,573
37.75378,-122.41266,2008/06/08 07:13:54,573
37.7526,-122.41308,2008/06/08 07:14:49,573
37.74111,-122.41156,2008/06/08 07:00:29,191
37.73667,-122.41401,2008/06/08 07:01:17,191
37.73057,-122.41343,2008/06/08 07:02:14,191
37.72561,-122.41012,2008/06/08 07:03:18,191
37.72125,-122.40718,2008/06/08 07:04:03,191
37.7194,-122.40185,2008/06/08 07:05:02,191
37.71951,-122.39723,2008/06/08 07:06:04,191
37.72023,-122.39513,2008/06/08 07:07:10,191
37.72016,-122.39341,2008/06/08 07:07:57,191
37.72072,-122.39098,2008/06/08 07:08:41,191
37.74111,-122.41156,2008/06/08 07:00:29,13
37.73667,-122.41401,2008/06/08 07:01:17,13
37.73057,-122.41343,2008/06/08 07:02:14,13
37.72561,-122.41012,2008/06/08 07:03:18,13
37.72125,-122.40718,2008/06/08 07:04:03,13
37.7194,-122.40185,2008/06/08 07:05:02,13
37.71951,-122.39723,2008/06/08 07:06:04,13
37.72023,-122.39513,2008/06/08 07:07:10,13
37.72016,-122.39341,2008/06/08 07:07:57,13
37.72072,-122.39098,2008/06/08 07:08:41,13
37.74111,-122.41156,2008/06/08 07:00:29,373
37.73667,-122.41401,2008/06/08 07:01:17,373
37.73057,-122.41343,2008/06/08 07:02:14,373
37.72561,-122.41012,2008/06/08 07:03:18,373
37.72125,-122.40718,2008/06/08 07:04:03,373
37.7194,-122.40185,2008/06/08 07:05:02,373
37.71951,-122.39723,2008/06/08 07:06:04,373
37.72023,-122.39513,2008/06/08 07:07:10,373
37.72016,-122.39341,2008/06/08 07:07:57,373
37.72072,-122.39098,2008/06/08 07:08:41,373
37.79394,-122.41455,2008/06/08 07:06:48,533
37.79407,-122.41322,2008/06/08 07:07:41,533
37.79396,-122.4124,2008/06/08 07:08:23,533
37.79129,-122.41268,2008/06/08 07:09:21,533
37.79117,-122.41075,2008/06/08 07:10:12,533
37.79129,-122.41023,2008/06/08 07:10:47,533
37.7907,-122.41106,2008/06/08 07:11:31,533
37.78915,-122.41477,2008/06/08 07:12:34,533
37.78748,-122.41847,2008/06/08 07:13:38,533
37.78647,-122.42335,2008/06/08 07:14:28,533
37.79394,-122.41455,2008/06/08 07:06:48,467
37.79407,-122.41322,2008/06/08 07:07:41,467
37.79396,-122.4124,2008/06/08 07:08:23,467
37.79129,-122.41268,2008/06/08 07:09:21,467
37.79117,-122.41075,2008/06/08 07:10:12,467
37.79129,-122.41023,2008/06/08 07:10:47,467
37.7907,-122.41106,2008/06/08 07:11:31,467
37.78915,-122.41477,2008/06/08 07:12:34,467
37.78748,-122.41847,2008/06/08 07:13:38,467
37.78647,-122.42335,2008/06/08 07:14:28,467
37.79394,-122.41455,2008/06/08 07:06:48,559
37.79407,-122.41322,2008/06/08 07:07:41,559
37.79396,-122.4124,2008/06/08 07:08:23,559
37.79129,-122.41268,2008/06/08 07:09:21,559
37.79117,-122.41075,2008/06/08 07:10:12,559
37.79129,-122.41023,2008/06/08 07:10:47,559
37.7907,-122.41106,2008/06/08 07:11:31,559
37.78915,-122.41477,2008/06/08 07:12:34,559
37.78748,-122.41847,2008/06/08 07:13:38,559
37.78647,-122.42335,2008/06/08 07:14:28,559
37.67504,-122.31848,2008/06/08 07:00:22,635
37.68041,-122.32766,2008/06/08 07:01:09,635
37.68263,-122.33255,2008/06/08 07:02:13,635
37.68369,-122.33703,2008/06/08 07:03:05,635
37.68399,-122.34288,2008/06/08 07:03:57,635
37.68532,-122.34915,2008/06/08 07:04:51,635
37.687,-122.35425,2008/06/08 07:05:30,635
37.69213,-122.36196,2008/06/08 07:06:31,635
37.69589,-122.36534,2008/06/08 07:07:32,635
37.69944,-122.36749,2008/06/08 07:08:30,635
37.70566,-122.37177,2008/06/08 07:09:30,635
37.70947,-122.37474,2008/06/08 07:10:30,635
37.71632,-122.38136,2008/06/08 07:11:47,635
37.71816,-122.38621,2008/06/08 07:12:38,635
37.71832,-122.39146,2008/06/08 07:13:28,635
37.72084,-122.39573,2008/06/08 07:14:24,635
37.67504,-122.31848,2008/06/08 07:00:22,633
37.68041,-122.32766,2008/06/08 07:01:09,633
37.68263,-122.33255,2008/06/08 07:02:13,633
37.68369,-122.33703,2008/06/08 07:03:05,633
37.68399,-122.34288,2008/06/08 07:03:57,633
37.68532,-122.34915,2008/06/08 07:04:51,633
37.687,-122.35425,2008/06/08 07:05:30,633
37.69213,-122.36196,2008/06/08 07:06:31,633
37.69589,-122.36534,2008/06/08 07:07:32,633
37.69944,-122.36749,2008/06/08 07:08:30,633
37.70566,-122.37177,2008/06/08 07:09:30,633
37.70947,-122.37474,2008/06/08 07:10:30,633
37.71632,-122.38136,2008/06/08 07:11:47,633
37.71816,-122.38621,2008/06/08 07:12:38,633
37.71832,-122.39146,2008/06/08 07:13:28,633
37.72084,-122.39573,2008/06/08 07:14:24,633
37.67504,-122.31848,2008/06/08 07:00:22,156
37.68041,-122.32766,2008/06/08 07:01:09,156
37.68263,-122.33255,2008/06/08 07:02:13,156
37.68369,-122.33703,2008/06/08 07:03:05,156
37.68399,-122.34288,2008/06/08 07:03:57,156
37.68532,-122.34915,2008/06/08 07:04:51,156
37.687,-122.35425,2008/06/08 07:05:30,156
37.69213,-122.36196,2008/06/08 07:06:31,156
37.69589,-122.36534,2008/06/08 07:07:32,156
37.69944,-122.36749,2008/06/08 07:08:30,156
37.70566,-122.37177,2008/06/08 07:09:30,156
37.70947,-122.37474,2008/06/08 07:10:30,156
37.71632,-122.38136,2008/06/08 07:11:47,156
37.71816,-122.38621,2008/06/08 07:12:38,156
37.71832,-122.39146,2008/06/08 07:13:28,156
37.72084,-122.39573,2008/06/08 07:14:24,156
37.76726,-122.42633,2008/06/08 07:04:42,581
37.76919,-122.42246,2008/06/08 07:06:06,581
37.76948,-122.41979,2008/06/08 07:07:26,581
37.77209,-122.42037,2008/06/08 07:08:26,581
37.77614,-122.42153,2008/06/08 07:09:25,581
37.77878,-122.41956,2008/06/08 07:10:24,581
37.78057,-122.41862,2008/06/08 07:11:26,581
37.78151,-122.41682,2008/06/08 07:12:23,581
37.78248,-122.4153,2008/06/08 07:13:38,581
37.78335,-122.41316,2008/06/08 07:14:26,581
37.76726,-122.42633,2008/06/08 07:04:42,303
37.76919,-122.42246,2008/06/08 07:06:06,303
37.76948,-122.41979,2008/06/08 07:07:26,303
37.77209,-122.42037,2008/06/08 07:08:26,303
37.77614,-122.42153,2008/06/08 07:09:25,303
37.77878,-122.41956,2008/06/08 07:10:24,303
37.78057,-122.41862,2008/06/08 07:11:26,303
37.78151,-122.41682,2008/06/08 07:12:23,303
37.78248,-122.4153,2008/06/08 07:13:38,303
37.78335,-122.41316,2008/06/08 07:14:26,303
37.76726,-122.42633,2008/06/08 07:04:42,314
37.76919,-122.42246,2008/06/08 07:06:06,314
37.76948,-122.41979,2008/06/08 07:07:26,314
37.77209,-122.42037,2008/06/08 07:08:26,314
