lat,lon,datetime,user_id
37.80908,-122.2502,2008/06/08 07:00:51,3
37.80917,-122.25016,2008/06/08 07:01:48,3
37.80922,-122.25009,2008/06/08 07:02:49,3
37.80919,-122.25005,2008/06/08 07:03:49,3
37.80921,-122.25006,2008/06/08 07:04:50,3
37.80922,-122.25007,2008/06/08 07:05:50,3
37.77373,-122.43351,2008/06/08 07:02:28,5
37.7746,-122.42463,2008/06/08 07:03:27,5
37.77485,-122.4235,2008/06/08 07:04:29,5
37.77635,-122.4197,2008/06/08 07:05:50,5
37.77314,-122.41321,2008/06/08 07:06:33,5
37.77642,-122.40856,2008/06/08 07:07:28,5
37.78103,-122.40255,2008/06/08 07:08:28,5
37.77978,-122.39842,2008/06/08 07:09:29,5
37.77897,-122.39551,2008/06/08 07:10:39,5
37.68954,-122.39069,2008/06/08 07:00:22,6
37.70314,-122.39376,2008/06/08 07:01:11,6
37.71605,-122.39851,2008/06/08 07:02:16,6
37.72954,-122.40319,2008/06/08 07:02:45,6
37.74305,-122.39598,2008/06/08 07:03:49,6
37.75621,-122.39218,2008/06/08 07:04:36,6
37.7693,-122.39746,2008/06/08 07:05:26,6
37.77679,-122.39335,2008/06/08 07:06:36,6
37.7795,-122.39359,2008/06/08 07:07:34,6
37.77968,-122.39378,2008/06/08 07:08:32,6
37.78453,-122.39995,2008/06/08 07:09:42,6
37.78715,-122.40275,2008/06/08 07:10:37,6
37.78778,-122.40507,2008/06/08 07:11:32,6
37.78723,-122.40955,2008/06/08 07:12:43,6
37.78724,-122.41131,2008/06/08 07:14:33,6
37.80017,-122.3983,2008/06/08 07:01:18,7
37.80665,-122.40616,2008/06/08 07:03:19,7
37.80633,-122.41843,2008/06/08 07:06:19,7
37.80633,-122.41843,2008/06/08 07:06:34,7
37.80617,-122.41824,2008/06/08 07:06:54,7
37.80562,-122.4206,2008/06/08 07:07:54,7
37.80527,-122.42491,2008/06/08 07:08:59,7
37.80349,-122.42501,2008/06/08 07:09:56,7
37.80174,-122.42473,2008/06/08 07:11:05,7
37.79285,-122.42315,2008/06/08 07:13:55,7
37.78537,-122.43117,2008/06/08 07:02:55,8
37.78439,-122.43276,2008/06/08 07:04:07,8
37.78334,-122.43977,2008/06/08 07:05:13,8
37.78242,-122.44706,2008/06/08 07:05:55,8
37.78236,-122.44753,2008/06/08 07:06:56,8
37.77695,-122.4468,2008/06/08 07:07:56,8
37.77554,-122.44658,2008/06/08 07:08:57,8
37.77551,-122.44657,2008/06/08 07:09:46,8
37.77545,-122.44652,2008/06/08 07:10:30,8
37.77551,-122.44652,2008/06/08 07:11:26,8
37.77294,-122.44619,2008/06/08 07:12:32,8
37.77212,-122.45183,2008/06/08 07:13:26,8
37.76744,-122.45796,2008/06/08 07:14:28,8
37.78623,-122.42307,2008/06/08 07:00:32,9
37.78588,-122.42611,2008/06/08 07:00:58,9
37.78561,-122.42933,2008/06/08 07:01:58,9
37.78551,-122.43001,2008/06/08 07:02:35,9
37.78539,-122.43101,2008/06/08 07:02:51,9
37.80162,-122.4295,2008/06/08 07:06:01,10
37.79859,-122.42733,2008/06/08 07:07:10,10
37.79541,-122.42692,2008/06/08 07:08:41,10
37.79135,-122.42835,2008/06/08 07:09:41,10
37.78623,-122.4246,2008/06/08 07:10:41,10
37.78732,-122.41731,2008/06/08 07:11:41,10
37.78769,-122.41545,2008/06/08 07:12:39,10
37.80002,-122.41465,2008/06/08 07:00:49,11
37.79906,-122.42048,2008/06/08 07:01:44,11
37.80097,-122.42264,2008/06/08 07:02:44,11
37.80149,-122.42513,2008/06/08 07:03:44,11
37.80089,-122.4289,2008/06/08 07:05:27,11
37.76778,-122.42885,2008/06/08 07:00:09,13
37.76464,-122.42872,2008/06/08 07:01:09,13
37.76285,-122.42844,2008/06/08 07:02:13,13
37.76312,-122.42372,2008/06/08 07:03:09,13
37.76339,-122.41999,2008/06/08 07:03:57,13
37.76348,-122.41703,2008/06/08 07:04:52,13
37.76421,-122.4115,2008/06/08 07:05:52,13
37.76446,-122.40745,2008/06/08 07:06:51,13
37.76467,-122.4021,2008/06/08 07:07:52,13
37.76503,-122.39647,2008/06/08 07:08:52,13
37.78795,-122.44057,2008/06/08 07:00:26,15
37.78655,-122.4456,2008/06/08 07:01:11,15
37.78413,-122.45268,2008/06/08 07:02:28,15
37.78396,-122.45702,2008/06/08 07:03:28,15
37.78318,-122.4612,2008/06/08 07:04:29,15
37.78291,-122.46534,2008/06/08 07:05:35,15
37.78284,-122.46854,2008/06/08 07:06:31,15
37.78274,-122.47064,2008/06/08 07:07:00,15
37.78238,-122.47567,2008/06/08 07:07:54,15
37.78225,-122.48028,2008/06/08 07:08:55,15
37.78227,-122.48049,2008/06/08 07:09:55,15
37.78821,-122.40829,2008/06/08 07:08:04,16
37.78577,-122.40632,2008/06/08 07:08:50,16
37.78421,-122.40379,2008/06/08 07:09:50,16
37.78018,-122.39888,2008/06/08 07:10:56,16
37.77148,-122.4062,2008/06/08 07:11:51,16
37.79894,-122.43758,2008/06/08 07:00:51,17
37.80136,-122.42472,2008/06/08 07:01:57,17
37.79656,-122.40841,2008/06/08 07:05:12,17
37.79297,-122.40782,2008/06/08 07:06:07,17
37.78742,-122.40756,2008/06/08 07:07:00,17
37.78795,-122.40824,2008/06/08 07:07:28,17
37.73302,-122.42731,2008/06/08 07:09:33,18
37.73123,-122.4224,2008/06/08 07:11:06,18
37.73422,-122.41158,2008/06/08 07:12:11,18
37.73132,-122.40519,2008/06/08 07:14:11,18
37.73085,-122.40498,2008/06/08 07:14:44,18
37.75228,-122.41411,2008/06/08 07:00:54,19
37.74927,-122.41537,2008/06/08 07:01:42,19
37.74912,-122.41778,2008/06/08 07:02:47,19
37.74842,-122.41825,2008/06/08 07:03:43,19
37.7394,-122.42395,2008/06/08 07:05:43,19
37.73287,-122.42729,2008/06/08 07:06:47,19
37.73067,-122.42946,2008/06/08 07:07:18,19
37.80454,-122.44214,2008/06/08 07:04:17,21
37.80452,-122.44209,2008/06/08 07:04:56,21
37.80386,-122.44195,2008/06/08 07:06:10,21
37.80026,-122.44115,2008/06/08 07:07:03,21
37.79675,-122.44039,2008/06/08 07:08:01,21
37.79448,-122.44169,2008/06/08 07:08:57,21
37.78847,-122.44055,2008/06/08 07:11:05,21
37.78446,-122.43963,2008/06/08 07:12:02,21
37.7807,-122.43902,2008/06/08 07:13:09,21
37.77637,-122.43806,2008/06/08 07:14:13,21
37.77373,-122.43756,2008/06/08 07:14:59,21
37.78463,-122.40888,2008/06/08 07:09:02,27
37.78496,-122.41111,2008/06/08 07:10:19,27
37.78641,-122.41165,2008/06/08 07:11:11,27
37.78809,-122.41004,2008/06/08 07:12:02,27
37.78836,-122.4126,2008/06/08 07:14:12,27
37.79829,-122.40253,2008/06/08 07:01:40,29
37.79673,-122.40069,2008/06/08 07:02:40,29
37.79408,-122.4006,2008/06/08 07:03:40,29
37.79319,-122.40237,2008/06/08 07:04:52,29
37.79256,-122.40833,2008/06/08 07:05:43,29
37.79087,-122.41466,2008/06/08 07:06:51,29
37.78941,-122.42187,2008/06/08 07:07:41,29
37.7893,-122.42484,2008/06/08 07:08:53,29
37.78818,-122.43247,2008/06/08 07:09:41,29
37.78688,-122.44254,2008/06/08 07:10:52,29
37.78324,-122.44729,2008/06/08 07:11:47,29
37.78018,-122.44741,2008/06/08 07:12:36,29
37.78018,-122.44741,2008/06/08 07:12:52,29
37.77596,-122.44662,2008/06/08 07:13:36,29
37.77318,-122.44597,2008/06/08 07:14:43,29
37.77669,-122.39544,2008/06/08 07:06:25,30
37.77884,-122.39336,2008/06/08 07:07:25,30
37.77971,-122.39369,2008/06/08 07:08:30,30
37.78315,-122.39834,2008/06/08 07:09:25,30
37.78447,-122.39923,2008/06/08 07:10:09,30
37.78691,-122.403,2008/06/08 07:11:14,30
37.78947,-122.40389,2008/06/08 07:12:09,30
37.78954,-122.40618,2008/06/08 07:13:14,30
37.78867,-122.40646,2008/06/08 07:14:04,30
37.79386,-122.40489,2008/06/08 07:00:30,31
37.79672,-122.4053,2008/06/08 07:01:25,31
37.79708,-122.40533,2008/06/08 07:02:46,31
37.79871,-122.40789,2008/06/08 07:03:25,31
37.8003,-122.41034,2008/06/08 07:04:25,31
37.80273,-122.41146,2008/06/08 07:05:25,31
37.80554,-122.41186,2008/06/08 07:06:25,31
37.80668,-122.41348,2008/06/08 07:07:30,31
37.80764,-122.41373,2008/06/08 07:08:25,31
37.80427,-122.41326,2008/06/08 07:09:40,31
37.80266,-122.41304,2008/06/08 07:10:30,31
37.79923,-122.41241,2008/06/08 07:12:32,31
37.79642,-122.41187,2008/06/08 07:13:30,31
37.79412,-122.40972,2008/06/08 07:14:32,31
37.79209,-122.41032,2008/06/08 07:11:01,33
37.79156,-122.41092,2008/06/08 07:11:57,33
37.78918,-122.41014,2008/06/08 07:13:03,33
37.78737,-122.4098,2008/06/08 07:13:56,33
37.78566,-122.40947,2008/06/08 07:14:38,33
37.7978,-122.40853,2008/06/08 07:00:12,34
37.79627,-122.41184,2008/06/08 07:01:02,34
37.79449,-122.41475,2008/06/08 07:02:02,34
37.7922,-122.41392,2008/06/08 07:03:02,34
37.7895,-122.4138,2008/06/08 07:04:03,34
37.79006,-122.41142,2008/06/08 07:05:03,34
37.79015,-122.4113,2008/06/08 07:05:28,34
37.78324,-122.40923,2008/06/08 07:00:35,36
37.78135,-122.41157,2008/06/08 07:01:37,36
37.77966,-122.41366,2008/06/08 07:02:40,36
37.77709,-122.41776,2008/06/08 07:03:37,36
37.77454,-122.42022,2008/06/08 07:04:36,36
37.77247,-122.4228,2008/06/08 07:05:39,36
37.77066,-122.42508,2008/06/08 07:06:38,36
37.7894,-122.41184,2008/06/08 07:09:12,38
37.79244,-122.41258,2008/06/08 07:10:07,38
37.79535,-122.41322,2008/06/08 07:11:07,38
37.79792,-122.41205,2008/06/08 07:12:08,38
37.79875,-122.40921,2008/06/08 07:13:13,38
37.8013,-122.42499,2008/06/08 07:00:47,39
37.79505,-122.42342,2008/06/08 07:01:42,39
37.79316,-122.42306,2008/06/08 07:02:33,39
37.79012,-122.4225,2008/06/08 07:03:33,39
37.79012,-122.4225,2008/06/08 07:03:47,39
37.78844,-122.42171,2008/06/08 07:04:39,39
37.78945,-122.41413,2008/06/08 07:05:34,39
37.78884,-122.4107,2008/06/08 07:06:34,39
37.78812,-122.41128,2008/06/08 07:07:18,39
37.79683,-122.41857,2008/06/08 07:05:19,42
37.79399,-122.41777,2008/06/08 07:06:20,42
37.79201,-122.4175,2008/06/08 07:07:20,42
37.79089,-122.41716,2008/06/08 07:08:31,42
37.78944,-122.41562,2008/06/08 07:09:22,42
37.78982,-122.40991,2008/06/08 07:10:21,42
37.78256,-122.4102,2008/06/08 07:00:48,45
37.7811,-122.41224,2008/06/08 07:01:50,45
37.78072,-122.41491,2008/06/08 07:02:48,45
37.77876,-122.41489,2008/06/08 07:03:48,45
37.77508,-122.41025,2008/06/08 07:04:49,45
37.7738,-122.4087,2008/06/08 07:05:49,45
37.7713,-122.40559,2008/06/08 07:06:50,45
37.76979,-122.40255,2008/06/08 07:07:53,45
