lat,lon,datetime,user_id
37.77373,-122.43351,2008/06/08 07:02:28,5
37.77534,-122.41928,2008/06/08 07:04:09,5
37.77205,-122.42325,2008/06/08 07:04:39,5
37.77635,-122.4197,2008/06/08 07:05:50,5
37.77568,-122.4162,2008/06/08 07:07:04,5
37.77642,-122.40856,2008/06/08 07:07:28,5
37.78577,-122.40697,2008/06/08 07:08:38,5
37.785,-122.39985,2008/06/08 07:09:38,5
37.70401,-122.39393,2008/06/08 07:00:48,6
37.72001,-122.3998,2008/06/08 07:00:54,6
37.73268,-122.40519,2008/06/08 07:01:45,6
37.69209,-122.39119,2008/06/08 07:03:40,6
37.77776,-122.39723,2008/06/08 07:03:47,6
37.75621,-122.39218,2008/06/08 07:04:36,6
37.7819,-122.39212,2008/06/08 07:06:30,6
37.7795,-122.39359,2008/06/08 07:07:34,6
37.77807,-122.39266,2008/06/08 07:08:02,6
37.78453,-122.39995,2008/06/08 07:09:42,6
37.78715,-122.40275,2008/06/08 07:10:37,6
37.78778,-122.40507,2008/06/08 07:11:32,6
37.78796,-122.40683,2008/06/08 07:12:50,6
37.78724,-122.41131,2008/06/08 07:14:33,6
37.80017,-122.3983,2008/06/08 07:01:18,7
37.80665,-122.40616,2008/06/08 07:03:19,7
37.80541,-122.41682,2008/06/08 07:06:09,7
37.8066,-122.4193,2008/06/08 07:06:28,7
37.80674,-122.42055,2008/06/08 07:07:28,7
37.80562,-122.4206,2008/06/08 07:07:54,7
37.80254,-122.42057,2008/06/08 07:08:51,7
37.799,-122.41891,2008/06/08 07:10:23,7
37.80534,-122.42358,2008/06/08 07:10:51,7
37.79594,-122.42215,2008/06/08 07:13:49,7
37.78346,-122.43218,2008/06/08 07:02:56,8
37.78455,-122.43463,2008/06/08 07:03:36,8
37.78334,-122.43977,2008/06/08 07:05:13,8
37.78174,-122.4524,2008/06/08 07:05:49,8
37.78558,-122.44625,2008/06/08 07:06:34,8
37.77695,-122.4468,2008/06/08 07:07:56,8
37.77177,-122.4488,2008/06/08 07:08:55,8
37.77554,-122.44658,2008/06/08 07:08:57,8
37.77093,-122.44537,2008/06/08 07:09:59,8
37.77596,-122.44662,2008/06/08 07:13:36,8
37.78623,-122.42307,2008/06/08 07:00:32,9
37.78497,-122.42303,2008/06/08 07:01:36,9
37.78492,-122.42768,2008/06/08 07:01:50,9
37.78339,-122.42255,2008/06/08 07:02:25,9
37.78539,-122.43101,2008/06/08 07:02:51,9
37.80162,-122.4295,2008/06/08 07:06:01,10
37.80178,-122.42826,2008/06/08 07:07:00,10
37.79544,-122.42691,2008/06/08 07:08:44,10
37.79135,-122.42835,2008/06/08 07:09:41,10
37.78452,-122.42412,2008/06/08 07:10:40,10
37.78437,-122.41756,2008/06/08 07:11:36,10
37.78769,-122.41545,2008/06/08 07:12:39,10
37.79627,-122.41184,2008/06/08 07:01:02,11
37.79608,-122.42216,2008/06/08 07:02:27,11
37.80093,-122.42256,2008/06/08 07:04:03,11
37.80159,-122.42301,2008/06/08 07:04:27,11
37.80089,-122.4289,2008/06/08 07:05:27,11
37.76887,-122.42676,2008/06/08 07:00:30,13
37.77063,-122.42519,2008/06/08 07:01:31,13
37.76759,-122.42446,2008/06/08 07:03:18,13
37.76009,-122.426,2008/06/08 07:03:22,13
37.76572,-122.42188,2008/06/08 07:03:54,13
37.76595,-122.40836,2008/06/08 07:04:51,13
37.76193,-122.4173,2008/06/08 07:05:32,13
37.76342,-122.40315,2008/06/08 07:07:07,13
37.76467,-122.4021,2008/06/08 07:07:52,13
37.7661,-122.40176,2008/06/08 07:08:52,13
37.78795,-122.44057,2008/06/08 07:00:26,15
37.78677,-122.45019,2008/06/08 07:00:46,15
37.78104,-122.46126,2008/06/08 07:01:03,15
37.78141,-122.45612,2008/06/08 07:03:28,15
37.7809,-122.46598,2008/06/08 07:05:04,15
37.78291,-122.46534,2008/06/08 07:05:35,15
37.78284,-122.46854,2008/06/08 07:06:31,15
37.78054,-122.47357,2008/06/08 07:07:42,15
37.78063,-122.47103,2008/06/08 07:08:41,15
37.78225,-122.48028,2008/06/08 07:08:55,15
37.78976,-122.41384,2008/06/08 07:08:06,16
37.78523,-122.40515,2008/06/08 07:08:42,16
37.78154,-122.40552,2008/06/08 07:09:42,16
37.78201,-122.40142,2008/06/08 07:11:40,16
37.77018,-122.40397,2008/06/08 07:11:54,16
37.79894,-122.43758,2008/06/08 07:00:51,17
37.80136,-122.42472,2008/06/08 07:01:57,17
37.7966,-122.40596,2008/06/08 07:05:11,17
37.78976,-122.41366,2008/06/08 07:06:14,17
37.78742,-122.40756,2008/06/08 07:07:00,17
37.78795,-122.40824,2008/06/08 07:07:28,17
37.73032,-122.43238,2008/06/08 07:07:28,18
37.73123,-122.4224,2008/06/08 07:11:06,18
37.73422,-122.41158,2008/06/08 07:12:11,18
37.75228,-122.41411,2008/06/08 07:00:54,19
37.75057,-122.4205,2008/06/08 07:01:10,19
37.74927,-122.41537,2008/06/08 07:01:42,19
37.75368,-122.41419,2008/06/08 07:01:48,19
37.74332,-122.42202,2008/06/08 07:04:14,19
37.73302,-122.42731,2008/06/08 07:09:33,19
37.80052,-122.43855,2008/06/08 07:04:50,21
37.79989,-122.43442,2008/06/08 07:05:53,21
37.79717,-122.43578,2008/06/08 07:08:49,21
37.78847,-122.44055,2008/06/08 07:11:05,21
37.78446,-122.43963,2008/06/08 07:12:02,21
37.7807,-122.43902,2008/06/08 07:13:09,21
37.7752,-122.43618,2008/06/08 07:14:01,21
37.77301,-122.43836,2008/06/08 07:14:14,21
37.78657,-122.41313,2008/06/08 07:09:10,27
37.78335,-122.41044,2008/06/08 07:10:24,27
37.78719,-122.41027,2008/06/08 07:11:09,27
